"From";"To";"ID 86530 - PM2.5";"ID 86533 - PM2.5";"ID 86534 - PM2.5";"ID 86535 - PM2.5";"ID 86536 - PM2.5";"ID 86537 - PM2.5";"ID 86538 - PM2.5";"ID 86540 - PM2.5"
"01/10/2021";"02/10/2021";"31";"35";"38";"34";"30";"32";"33";"34"
"02/10/2021";"03/10/2021";"27";"31";"34";"30";"26";"28";"30";"30"
"03/10/2021";"04/10/2021";"20";"24";"26";"23";"19";"21";"23";"23"
"04/10/2021";"05/10/2021";"8";"10";"11";"9";"7";"9";"10";"9"
"05/10/2021";"06/10/2021";"5";"6";"7";"6";"5";"6";"7";"6"
"06/10/2021";"07/10/2021";"4";"6";"7";"5";"4";"5";"6";"5"
"07/10/2021";"08/10/2021";"4";"6";"7";"5";"4";"5";"6";"5"
"08/10/2021";"09/10/2021";"5";"7";"8";"6";"5";"6";"7";"6"
"09/10/2021";"10/10/2021";"8";"10";"12";"10";"8";"9";"10";"10"
"10/10/2021";"11/10/2021";"10";"12";"14";"12";"9";"11";"12";"12"
"11/10/2021";"12/10/2021";"9";"11";"13";"11";"9";"10";"11";"11"
"12/10/2021";"13/10/2021";"14";"16";"18";"16";"13";"14";"16";"15"
"13/10/2021";"14/10/2021";"17";"20";"23";"20";"16";"18";"20";"19"
"14/10/2021";"15/10/2021";"21";"24";"27";"24";"20";"22";"23";"23"
"15/10/2021";"16/10/2021";"21";"25";"28";"24";"20";"22";"24";"24"
"16/10/2021";"17/10/2021";"10";"13";"14";"12";"9";"11";"12";"12"
"17/10/2021";"18/10/2021";"2";"4";"5";"3";"2";"4";"4";"4"
"18/10/2021";"19/10/2021";"4";"6";"7";"6";"4";"6";"6";"6"
"19/10/2021";"20/10/2021";"13";"16";"19";"16";"12";"14";"15";"17"
"20/10/2021";"21/10/2021";"17";"21";"24";"21";"17";"19";"20";"21"
"21/10/2021";"22/10/2021";"17";"20";"23";"20";"16";"18";"19";"20"
"22/10/2021";"23/10/2021";"10";"12";"14";"12";"10";"11";"12";"12"
"23/10/2021";"24/10/2021";"9";"12";"14";"11";"9";"10";"11";"11"
"24/10/2021";"25/10/2021";"19";"23";"26";"22";"18";"20";"21";"22"
"25/10/2021";"26/10/2021";"13";"17";"19";"16";"13";"14";"16";"16"
"26/10/2021";"27/10/2021";"1";"2";"3";"2";"1";"2";"2";"2"
"27/10/2021";"28/10/2021";"6";"8";"9";"7";"5";"7";"7";"7"
"28/10/2021";"29/10/2021";"9";"12";"13";"11";"9";"11";"12";"11"
"29/10/2021";"30/10/2021";"4";"5";"6";"4";"3";"5";"5";"4"
"30/10/2021";"31/10/2021";"1";"3";"3";"2";"1";"2";"3";"2"
"31/10/2021";"01/11/2021";"4";"6";"7";"6";"4";"5";"6";"6"
