,Sensor ID,DYL_PM2.5,EPA_PM2.5,EPA_PM10,EPA_RH,EPA_T,EPA_CO
2021-10-06 00:00:00 UTC,1,18.1,7.8,23.5,100,21,
2021-10-06 01:00:00 UTC,1,16.6,7.1,22.4,100,20,
2021-10-06 02:00:00 UTC,1,16,6,19.1,100,21,
2021-10-06 03:00:00 UTC,1,16,6.7,21.1,100,20,
2021-10-06 04:00:00 UTC,1,16.4,6.6,20.1,100,20,
2021-10-06 05:00:00 UTC,1,16.5,6.4,19.5,100,20,
2021-10-06 06:00:00 UTC,1,15.5,5,13.9,100,20,
2021-10-06 07:00:00 UTC,1,16.7,4.8,13.9,100,20,
2021-10-06 08:00:00 UTC,1,17.9,5.2,13.5,100,21,
2021-10-06 09:00:00 UTC,1,16.2,4.7,10.7,100,22,0.2
2021-10-06 10:00:00 UTC,1,15.8,4.5,9.4,100,22,0.1
2021-10-06 11:00:00 UTC,1,15.2,3.9,7.8,99,23,0.1
2021-10-06 12:00:00 UTC,1,14.8,3.6,7.9,99,23,0.1
2021-10-06 13:00:00 UTC,1,14.3,3.2,6.8,100,23,0.1
2021-10-06 14:00:00 UTC,1,14.4,2.9,6.5,100,22,0.1
2021-10-06 15:00:00 UTC,1,15.2,3.7,8.7,97,23,0.1
2021-10-06 16:00:00 UTC,1,15.3,4.1,9.8,97,23,0.1
2021-10-06 17:00:00 UTC,1,16,4.3,9.8,100,22,0.1
2021-10-06 18:00:00 UTC,1,15.8,4.2,10.6,100,21,0.1
2021-10-06 19:00:00 UTC,1,15.9,4.5,12.6,100,21,0.1
2021-10-06 20:00:00 UTC,1,16,4.8,15.4,100,21,0.1
2021-10-06 21:00:00 UTC,1,15.8,4.9,15.2,100,21,0.1
2021-10-06 22:00:00 UTC,1,16.7,5.1,17.5,100,21,0.1
2021-10-06 23:00:00 UTC,1,18.3,5.8,20.3,100,21,0.1
2021-10-07 00:00:00 UTC,1,19,6.5,23.7,100,21,0.1
2021-10-07 01:00:00 UTC,1,21.3,7,24,100,21,0.1
2021-10-07 02:00:00 UTC,1,24,7.4,25,100,21,0.1
2021-10-07 03:00:00 UTC,1,26.8,8.3,26.9,100,21,0.1
2021-10-07 04:00:00 UTC,1,25.3,7.2,21.7,100,21,0.1
2021-10-07 05:00:00 UTC,1,22.6,7.1,25,100,21,0.1
2021-10-07 06:00:00 UTC,1,21.1,5.9,19.7,100,21,0.1
2021-10-07 07:00:00 UTC,1,20.1,6.6,24.4,100,21,0.1
2021-10-07 08:00:00 UTC,1,18.4,4.7,11.3,100,22,0.1
2021-10-07 09:00:00 UTC,1,17.8,4.5,9.3,99,23,0.1
2021-10-07 10:00:00 UTC,1,16.9,4.5,8.6,96,24,0.1
2021-10-07 11:00:00 UTC,1,16.3,4.3,8.4,95,24,0.1
2021-10-07 12:00:00 UTC,1,15.6,4.2,8.4,88,25,0.1
2021-10-07 13:00:00 UTC,1,15.7,4.4,8.4,92,25,0.1
2021-10-07 14:00:00 UTC,1,16.6,4.8,9.8,100,23,0.1
2021-10-07 15:00:00 UTC,1,19.7,5.4,12.9,100,23,0.1
2021-10-07 16:00:00 UTC,1,17.1,4.8,10.1,100,24,0.1
2021-10-07 17:00:00 UTC,1,16.1,5.2,12.8,100,23,0
2021-10-07 18:00:00 UTC,1,15.3,4.6,15.6,100,22,0
2021-10-07 19:00:00 UTC,1,16.5,5.5,19.5,100,22,0.1
2021-10-07 20:00:00 UTC,1,16.4,5.6,20.3,100,21,0.1
2021-10-07 21:00:00 UTC,1,15.6,6.3,24,100,21,0.1
2021-10-07 22:00:00 UTC,1,15.2,6.3,25.7,100,21,0
2021-10-07 23:00:00 UTC,1,15.5,6.5,25.3,100,21,0
2021-10-08 00:00:00 UTC,1,15.6,6.7,29.3,100,21,0
2021-10-08 01:00:00 UTC,1,15.3,5.8,22.3,100,21,0
2021-10-08 02:00:00 UTC,1,14.4,6,24.9,100,21,0
2021-10-08 03:00:00 UTC,1,14.4,6.7,30.6,100,21,0
2021-10-08 04:00:00 UTC,1,14.2,7.3,35.1,100,21,0.1
2021-10-08 05:00:00 UTC,1,14.4,6.3,29.5,100,20,0.1
2021-10-08 06:00:00 UTC,1,15,5.9,22.7,100,20,0.1
2021-10-08 07:00:00 UTC,1,15.3,5.3,23.3,100,20,0.1
2021-10-08 08:00:00 UTC,1,16.2,4.4,16.3,100,21,0.2
2021-10-08 09:00:00 UTC,1,15.6,4.3,10.8,95,23,0.1
2021-10-08 10:00:00 UTC,1,14.4,4.4,9,84,25,0.1
2021-10-08 11:00:00 UTC,1,14,5.1,9.5,75,26,0
2021-10-08 12:00:00 UTC,1,13.7,5.6,11.8,67,27,0.1
2021-10-08 13:00:00 UTC,1,14.1,6.4,11.5,62,27,0.1
2021-10-08 14:00:00 UTC,1,13.8,6.5,11.7,58,28,0.1
2021-10-08 15:00:00 UTC,1,14.1,7.2,13.4,59,27,0.1
2021-10-08 16:00:00 UTC,1,14.6,6.8,13.6,66,26,0.1
2021-10-08 17:00:00 UTC,1,17.4,7.1,13.6,78,23,0.1
2021-10-08 18:00:00 UTC,1,19.5,7.4,14,93,21,0.2
2021-10-08 19:00:00 UTC,1,21.1,8.6,19.4,100,20,0.3
2021-10-08 20:00:00 UTC,1,20.1,9.2,23.1,100,19,0.3
2021-10-08 21:00:00 UTC,1,19.9,9.9,24.4,100,19,0.3
2021-10-08 22:00:00 UTC,1,19.5,10,25.2,100,18,0.4
2021-10-08 23:00:00 UTC,1,18.1,9.7,26.6,100,18,0.4
2021-10-09 00:00:00 UTC,1,16.9,9,24.7,100,18,0.4
2021-10-09 01:00:00 UTC,1,13.6,8.5,25.4,100,17,0.3
2021-10-09 02:00:00 UTC,1,11.7,7.5,23.8,100,18,0.1
2021-10-09 03:00:00 UTC,1,11.2,6.2,20.1,100,18,0.1
2021-10-09 04:00:00 UTC,1,12.3,6.6,23.9,100,18,0.1
2021-10-09 05:00:00 UTC,1,13.2,5.5,18,100,18,0.1
2021-10-09 06:00:00 UTC,1,14.8,5.3,13.2,100,18,0
2021-10-09 07:00:00 UTC,1,17,5.1,14,100,18,0.1
2021-10-09 08:00:00 UTC,1,19.9,5,11.5,100,20,0.1
2021-10-09 09:00:00 UTC,1,15.3,4.5,9,91,22,0.1
